runname	sdlen	sim	chunklen	strand	id	tp	tn
run_128_1024_0.95_+	128	0.95	1024	+	0.91331	0.54174	0.99837
run_256_1024_0.95_+	256	0.95	1024	+	0.88979	0.62374	0.99841
run_512_1024_0.95_+	512	0.95	1024	+	0.86938	0.67775	0.99941
run_1024_1024_0.95_+	1024	0.95	1024	+	0.64591	0.94399	0.34759
run_2048_1024_0.95_+	2048	0.95	1024	+	0.9729	0.95237	0.99962
run_4096_1024_0.95_+	4096	0.95	1024	+	0.99577	0.99336	0.99949
run_8192_1024_0.95_+	8192	0.95	1024	+	0.99711	0.99555	0.99969
run_16384_1024_0.95_+	16384	0.95	1024	+	0.99773	0.9962	0.99993
run_32768_1024_0.95_+	32768	0.95	1024	+	0.99825	0.99733	0.99999
run_65536_1024_0.95_+	65536	0.95	1024	+	0.99936	0.99879	1
run_64_2048_0.95_+	64	0.95	2048	+	0.896	0.04654	0.99986
run_128_2048_0.95_+	128	0.95	2048	+	0.87882	0.35404	0.99895
run_256_2048_0.95_+	256	0.95	2048	+	0.8402	0.45155	0.99886
run_512_2048_0.95_+	512	0.95	2048	+	0.82732	0.57362	0.99947
run_1024_2048_0.95_+	1024	0.95	2048	+	0.85805	0.71674	0.99946
run_2048_2048_0.95_+	2048	0.95	2048	+	0.90529	0.8328	0.99964
run_4096_2048_0.95_+	4096	0.95	2048	+	0.96896	0.9491	0.99956
run_8192_2048_0.95_+	8192	0.95	2048	+	0.99504	0.9922	0.99972
run_16384_2048_0.95_+	16384	0.95	2048	+	0.99877	0.99799	0.99989
run_32768_2048_0.95_+	32768	0.95	2048	+	0.99911	0.99865	0.99997
run_65536_2048_0.95_+	65536	0.95	2048	+	0.99962	0.99928	0.99999
run_64_4096_0.95_+	64	0.95	4096	+	0.89335	0.02148	0.99994
run_128_4096_0.95_+	128	0.95	4096	+	0.84633	0.17737	0.99946
run_256_4096_0.95_+	256	0.95	4096	+	0.77518	0.22594	0.9994
run_512_4096_0.95_+	512	0.95	4096	+	0.71445	0.294	0.99974
run_1024_4096_0.95_+	1024	0.95	4096	+	0.75822	0.51703	0.99959
run_2048_4096_0.95_+	2048	0.95	4096	+	0.81041	0.66496	0.99973
run_4096_4096_0.95_+	4096	0.95	4096	+	0.89855	0.83295	0.9996
run_8192_4096_0.95_+	8192	0.95	4096	+	0.96474	0.94354	0.99972
run_16384_4096_0.95_+	16384	0.95	4096	+	0.99473	0.99115	0.99989
run_32768_4096_0.95_+	32768	0.95	4096	+	0.99949	0.99924	0.99996
run_65536_4096_0.95_+	65536	0.95	4096	+	0.99978	0.99959	0.99999
run_64_64_0.90_+	64	0.9	64	+	0.89114	0.00079	0.99999
run_128_64_0.90_+	128	0.9	64	+	0.81887	0.0277	1
run_256_64_0.90_+	256	0.9	64	+	0.71552	0.01877	0.99999
run_512_64_0.90_+	512	0.9	64	+	0.60212	0.01581	1
run_1024_64_0.90_+	1024	0.9	64	+	0.50656	0.01359	0.99999
run_2048_64_0.90_+	2048	0.9	64	+	0.45119	0.02962	1
run_4096_64_0.90_+	4096	0.9	64	+	0.41738	0.0392	1
run_64_64_0.99_+	64	0.99	64	+	0.94165	0.46983	0.99934
run_128_64_0.99_+	128	0.99	64	+	0.93322	0.64334	0.99958
run_256_64_0.99_+	256	0.99	64	+	0.91744	0.71677	0.99937
run_512_64_0.99_+	512	0.99	64	+	0.91847	0.7989	0.99961
run_1024_64_0.99_+	1024	0.99	64	+	0.90873	0.81785	0.99968
run_2048_64_0.99_+	2048	0.99	64	+	0.88738	0.80097	0.99987
run_4096_64_0.99_+	4096	0.99	64	+	0.88602	0.81212	0.99987
run_8192_64_0.99_+	8192	0.99	64	+	0.88735	0.81916	0.99989
run_16384_64_0.99_+	16384	0.99	64	+	0.89276	0.81822	0.99997
